local_ts,breathing_rate,breathing_signal,accel_x,accel_y,accel_z,bs_timestamp,rs_ts,activity_level,current_exercise,pred_exercise
1584104885078,NaN,-1.0181929,-0.048828125,-0.8352051,0.5341797,1584104884811,5129017693973,0.07217856,4,1
1584104885082,NaN,-0.7828029,-0.057373047,-0.83154297,0.5522461,1584104884891,5129017693973,0.07217856,4,1
1584104885084,NaN,-0.855323,-0.09643555,-0.80615234,0.5395508,1584104884971,5129017693973,0.07217856,4,1
1584104885087,NaN,-0.91651493,-0.13647461,-0.81274414,0.5559082,1584104885051,5129017693973,0.07217856,4,1
1584104885090,NaN,-0.8935035,-0.10595703,-0.8076172,0.5349121,1584104885131,5129017693973,0.07217856,4,1
1584104885093,NaN,-0.8475469,-0.09741211,-0.8076172,0.5444336,1584104885211,5129017693973,0.07217856,4,1
1584104887568,NaN,-0.80136424,-0.10961914,-0.8076172,0.5605469,1584104885291,-1139711512349,0.07217856,4,1
1584104887573,NaN,-0.7473729,-0.09838867,-0.81396484,0.56640625,1584104885371,-1139711512349,0.07217856,4,1
1584104887578,NaN,-0.6800385,-0.08862305,-0.8129883,0.58569336,1584104885451,-1139711512349,0.07217856,4,1
1584104887585,NaN,-0.59450036,-0.08569336,-0.810791,0.5703125,1584104885531,-1139711512349,0.07217856,4,1
1584104887587,NaN,-0.5363607,-0.0871582,-0.78808594,0.57836914,1584104885611,-1139711512349,0.07217856,4,1
1584104887593,NaN,-0.5200275,-0.103759766,-0.796875,0.57299805,1584104885691,-1139711512349,0.07217856,4,1
1584104887597,NaN,-0.49950993,-0.057617188,-0.7883301,0.57666016,1584104885771,-1139711512349,0.07217856,4,1
1584104887601,NaN,-0.47606477,-0.11694336,-0.8154297,0.5539551,1584104885851,-1139711512349,0.07217856,4,1
1584104887606,NaN,-0.3826498,0.01171875,-0.842041,0.5632324,1584104885931,-1139711512349,0.13171245,4,1
1584104887610,NaN,-0.24927008,0.009033203,-0.8347168,0.55126953,1584104886011,-1139711512349,0.13171245,4,1
1584104887614,NaN,-0.16928585,-0.044189453,-0.857666,0.5227051,1584104886091,-1139711512349,0.13171245,4,1
1584104887617,NaN,-0.13184702,-0.08496094,-0.81933594,0.53930664,1584104886171,-1139711512349,0.13171245,4,1
